Player,role,Runs,NO,HS,Avg,BF,SR,100,50,4s,6s,Wkts,Ov,Runs_bowler,Avg_bowler,Econ,SR_bowler,4w,5w,Team,Match,Inns,role_All-Rounder,role_Batsman,role_Bowler,role_WK,Pts,recent_form
Abdul Samad,Batsman,164.0,4.0,45.0,20.5,93.0,176.34,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LSG,13.0,12.0,0.0,1.0,0.0,0.0,80.0,0.549
Abhinav Manohar,Batsman,61.0,0.0,43.0,12.2,61.0,100.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,8.0,5.0,0.0,1.0,0.0,0.0,36.5,0.273
Abhishek Sharma,Batsman,439.0,0.0,141.0,33.77,227.0,193.39,1.0,2.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,14.0,13.0,0.0,1.0,0.0,0.0,255.0,0.914
Abishek Porel,WK,301.0,1.0,51.0,25.08,205.0,146.82,0.0,1.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,13.0,13.0,0.0,0.0,0.0,1.0,124.0,0.655
Adam Zampa,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,94.0,47.0,11.75,24.0,0.0,0.0,SRH,2.0,0.0,0.0,0.0,1.0,0.0,17.0,0.012
Aiden Markram,All-Rounder,445.0,0.0,66.0,34.23,299.0,148.82,0.0,5.0,38.0,22.0,4.0,11.0,102.0,25.5,9.27,16.5,0.0,0.0,LSG,13.0,13.0,1.0,0.0,0.0,0.0,218.5,0.594
Ajinkya Rahane,Batsman,390.0,1.0,61.0,35.45,264.0,147.72,0.0,3.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,13.0,12.0,0.0,1.0,0.0,0.0,172.5,0.763
Akash Deep,Bowler,6.0,1.0,6.0,6.0,2.0,300.0,0.0,0.0,0.0,1.0,3.0,19.0,229.0,76.33,12.05,38.0,0.0,0.0,LSG,6.0,2.0,0.0,0.0,1.0,0.0,49.0,0.047
Akash Madhwal,Bowler,4.0,1.0,4.0,0.0,9.0,44.44,0.0,0.0,0.0,0.0,4.0,15.0,166.0,41.5,11.06,22.5,0.0,0.0,RR,4.0,1.0,0.0,0.0,1.0,0.0,37.0,0.147
Akash Singh,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.1,99.0,24.75,8.86,16.75,0.0,0.0,LSG,3.0,0.0,0.0,0.0,1.0,0.0,34.0,0.257
Andre Russell,Bowler,167.0,1.0,57.0,18.56,102.0,163.72,0.0,1.0,16.0,14.0,8.0,18.1,217.0,27.12,11.94,13.62,0.0,0.0,KKR,13.0,10.0,0.0,0.0,1.0,0.0,158.5,0.303
Angkrish Raghuvanshi,Batsman,300.0,2.0,50.0,33.33,215.0,139.53,0.0,1.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,12.0,11.0,0.0,1.0,0.0,0.0,108.0,0.639
Aniket Verma,Batsman,236.0,3.0,74.0,26.22,142.0,166.19,0.0,1.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,14.0,12.0,0.0,1.0,0.0,0.0,116.5,0.616
Anrich Nortje,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,83.0,83.0,11.85,42.0,0.0,0.0,KKR,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0
Anshul Kamboj,Bowler,14.0,3.0,5.0,7.0,12.0,116.66,0.0,0.0,2.0,0.0,8.0,21.3,172.0,21.5,8.0,16.12,0.0,0.0,CSK,8.0,5.0,0.0,0.0,1.0,0.0,91.5,0.5
Anukul Roy,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,27.0,6.75,24.0,0.0,0.0,KKR,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.212
Arshdeep Singh,Bowler,2.0,1.0,1.0,2.0,6.0,33.33,0.0,0.0,0.0,0.0,21.0,58.2,518.0,24.66,8.88,16.66,0.0,0.0,PBKS,17.0,2.0,0.0,0.0,1.0,0.0,223.5,1.0
Ashutosh Sharma,Batsman,204.0,2.0,66.0,29.14,127.0,160.62,0.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,13.0,9.0,0.0,1.0,0.0,0.0,85.5,0.566
Ashwani Kumar,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.3,232.0,21.09,11.31,11.18,1.0,0.0,MI,7.0,0.0,0.0,0.0,1.0,0.0,80.5,0.485
Atharva Taide,Batsman,13.0,0.0,13.0,13.0,9.0,144.44,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,1.0,1.0,0.0,1.0,0.0,0.0,7.5,0.304
Avesh Khan,Bowler,21.0,3.0,19.0,21.0,12.0,175.0,0.0,0.0,3.0,1.0,13.0,47.2,487.0,37.46,10.28,21.84,0.0,0.0,LSG,13.0,4.0,0.0,0.0,1.0,0.0,138.5,0.636
Axar Patel,All-Rounder,263.0,1.0,43.0,26.3,167.0,157.48,0.0,0.0,23.0,15.0,5.0,34.0,288.0,57.6,8.47,40.8,0.0,0.0,DC,12.0,11.0,1.0,0.0,0.0,0.0,205.5,0.509
Ayush Badoni,All-Rounder,329.0,1.0,74.0,32.9,222.0,148.19,0.0,2.0,27.0,14.0,2.0,1.4,13.0,6.5,7.8,5.0,0.0,0.0,LSG,14.0,11.0,1.0,0.0,0.0,0.0,136.5,0.499
Ayush Mhatre,Batsman,240.0,0.0,94.0,34.29,127.0,188.97,0.0,1.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,7.0,7.0,0.0,1.0,0.0,0.0,126.0,0.666
Azmatullah Omarzai,Bowler,57.0,1.0,21.0,14.25,41.0,139.02,0.0,0.0,6.0,3.0,8.0,27.0,279.0,34.87,10.33,20.25,0.0,0.0,PBKS,9.0,5.0,0.0,0.0,1.0,0.0,102.0,0.384
Bhuvneshwar Kumar,Bowler,14.0,3.0,8.0,4.67,25.0,56.0,0.0,0.0,1.0,0.0,17.0,52.0,483.0,28.41,9.28,18.35,0.0,0.0,RCB,14.0,6.0,0.0,0.0,1.0,0.0,199.0,0.886
Chetan Sakariya,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5
Corbin Bosch,All-Rounder,47.0,0.0,27.0,23.5,32.0,146.87,0.0,0.0,3.0,3.0,1.0,7.0,55.0,55.0,7.85,42.0,0.0,0.0,MI,2.0,2.0,1.0,0.0,0.0,0.0,50.5,0.273
